City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Quimper,FR,50.68,clear sky,48.0,-4.1,Hôtel Escale Oceania Quimper
267,Hobyo,SO,76.6,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
268,Oume,JP,35.78,clear sky,35.7839,139.2431,Kampo Inn Ome
271,Panama City,PA,92.17,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
272,Sulangan,PH,79.48,broken clouds,11.1373,123.7228,Maia's Beach Resort
273,Ganj Muradabad,IN,52.52,clear sky,26.9667,80.1833,Gambhiran tample
275,Atar,MR,88.02,clear sky,20.5169,-13.0499,Oumou Elghoura
276,La Asuncion,VE,83.93,clear sky,11.0333,-63.8628,Colinas de Matasiete
277,Bonito,BR,93.54,broken clouds,-21.1211,-56.4819,Marruá Hotel
278,Fare,PF,80.8,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
279,Richards Bay,ZA,72.99,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
280,Dolores,AR,68.83,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
281,Tual,ID,83.23,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
282,Yeppoon,AU,73.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
283,Ca Mau,VN,78.55,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
284,Mana,GF,80.87,broken clouds,5.6592,-53.7767,LE SAMANA
285,Elesbao Veloso,BR,90.21,broken clouds,-6.2019,-42.1403,Pousada Paraiso
286,Singarayakonda,IN,75.74,broken clouds,15.25,80.0333,Sri Nrk A/C Lodge
290,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
291,Visegrad,BA,39.2,overcast clouds,43.7847,19.2992,Hotel Višegrad
292,Muborak,UZ,57.16,overcast clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
294,Guhagar,IN,67.66,few clouds,17.4842,73.1929,Hotel Seawinds
296,Ahuimanu,US,68.77,few clouds,21.4447,-157.8378,Paradise Bay Resort
298,Magrath,CA,42.94,broken clouds,49.4167,-112.8686,Lindenbaum Bed & Breakfast
299,Ubon Ratchathani,TH,67.89,scattered clouds,15.1667,105.1667,บ้านอินทร์โชติ
300,Saint George,US,49.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
301,Kalabo,ZM,68.92,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
302,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
303,Tevaitoa,PF,80.6,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
304,Carlos Chagas,BR,80.65,overcast clouds,-17.7031,-40.7664,Minas Hotel
305,Sao Gabriel Da Cachoeira,BR,82.2,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
306,Kemise,ET,69.04,clear sky,10.7167,39.8667,Hussen Endris
309,Saldanha,ZA,87.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
310,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
311,Oyama,JP,37.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
316,Puerto Del Rosario,ES,69.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
318,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
319,Ancud,CL,72.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
320,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
321,Medford,US,34.72,clear sky,42.3265,-122.8756,Rodeway Inn
324,Lahaina,US,75.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
326,Ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
327,Jalu,LY,58.28,clear sky,29.0331,21.5482,صاحبة الفخامة
328,Miram Shah,PK,47.37,overcast clouds,33.0086,70.0697,Bachelor Hostel
330,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
331,Jacareacanga,BR,83.37,broken clouds,-6.2222,-57.7528,Casa do Ian😎
332,San Luis,AR,67.24,overcast clouds,-33.295,-66.3356,Huarpes Hotel
333,Pakala,IN,69.57,broken clouds,13.4667,79.1167,ViswanathBollineni guesthouse @
335,Kaputa,ZM,69.33,broken clouds,-8.4689,29.6619,Chelelwa Charlets
336,Lithakia,GR,54.77,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
337,Flinders,AU,68.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
338,Chuy,UY,83.12,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
339,Barillas,GT,71.94,overcast clouds,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
340,Matadi,CD,81.28,light rain,-5.8167,13.45,Hotel Vivi Palace
341,Vinh,VN,60.57,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
343,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
344,Namibe,AO,74.73,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
345,Souillac,MU,80.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
346,Tres Arroyos,AR,64.67,moderate rain,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
347,Port-Gentil,GA,80.24,clear sky,-0.7193,8.7815,Fengshui Residence
348,Awbari,LY,58.26,clear sky,26.5921,12.7805,فندق أوباري
349,Taybad,IR,47.05,overcast clouds,34.74,60.7756,لی پوش jean center
350,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
352,Abu Kamal,SY,52.7,clear sky,34.4506,40.9171,محطة التلفاز
353,Nador,MA,64.47,clear sky,35.174,-2.9287,Hôtel La Giralda
354,Rawson,AR,63.0,clear sky,-43.3002,-65.1023,Hosteria Sampedro
355,Scottsbluff,US,44.29,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
356,Gushikawa,JP,58.23,overcast clouds,26.3544,127.8686,Kirari Guest House
357,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
358,Buraydah,SA,55.85,clear sky,26.326,43.975,فندق راحة السلام
359,Banjarmasin,ID,75.34,heavy intensity rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
363,Jiaojiang,CN,42.01,scattered clouds,28.6803,121.4428,Jiaojiang Hotel
364,Urambo,TZ,66.9,light rain,-5.0667,32.05,Fair Lodge
365,Bozeman,US,38.62,overcast clouds,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
366,Villarrica,PY,71.96,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
367,Jardim,BR,90.34,moderate rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
368,Smithers,CA,34.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
372,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
374,Cidreira,BR,86.92,moderate rain,-30.1811,-50.2056,Hotel Castelo
375,Shabqadar,PK,55.62,overcast clouds,34.2139,71.5552,Haji Jamshed khan House
376,Aswan,EG,57.4,clear sky,24.0934,32.907,Nuba Nile
377,Zatoka,UA,36.14,overcast clouds,46.0725,30.4654,Sonyachna
378,Padang,ID,74.57,moderate rain,-0.9492,100.3543,Mercure Padang
380,Pathein,MM,71.92,clear sky,16.7833,94.7333,New Pammawaddy Hotel
381,Benghazi,LY,58.98,few clouds,32.1167,20.0667,Tibesti Hotel
382,Matara,LK,75.51,clear sky,5.9485,80.5353,Amaloh Boutique Resort
383,Morgan City,US,43.03,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
385,Kerman,IR,53.46,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
386,Rocha,UY,76.57,broken clouds,-34.4833,-54.3333,Hotel Arrarte
387,Half Moon Bay,US,57.31,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
388,Morro Bay,US,65.21,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
390,Mackay,AU,73.69,broken clouds,-21.15,149.2,International Lodge Motel
392,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
394,Daru,PG,77.38,overcast clouds,-9.0763,143.2092,Daru Lodge
396,Deder,ET,58.15,clear sky,9.3167,41.45,Entoto Hotel
398,Jijiga,ET,65.19,broken clouds,9.35,42.8,RAMAAS HOTEL
399,Totness,SR,80.17,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
402,Barabai,ID,74.5,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
403,Sailana,IN,60.75,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
